State-CD,CDID,Party,Party,White,Latino,Black,Asian,Native American,Multiracial
AL1,0, R,1,0.6584,0.028,0.2752,0.0132,0.0112,0.0127
AL2,1, R,1,0.6404,0.036,0.2932,0.0109,0.0045,0.0137
AL3,2, R,1,0.6955,0.0263,0.25,0.0113,0.0031,0.0125
AL4,3, R,1,0.8489,0.057,0.0676,0.0044,0.0077,0.0135
AL5,4, R,1,0.7412,0.0477,0.1683,0.0155,0.0069,0.0187
AL6,5, R,1,0.7867,0.0488,0.1348,0.0158,0.0027,0.01
AL7,6, D,0,0.3218,0.028,0.6335,0.0064,0.0019,0.0075
AK1,7, R,1,0.6411,0.0553,0.0309,0.0527,0.1444,0.0639
AZ1,8, D,0,0.509,0.2082,0.0207,0.0135,0.2282,0.0171
AZ2,9, D,0,0.6438,0.2584,0.0364,0.0272,0.0091,0.0216
AZ3,10, D,0,0.2909,0.606,0.0385,0.0171,0.0316,0.0133
AZ4,11, R,1,0.7584,0.1791,0.0156,0.0105,0.0178,0.0164
AZ5,12, R,1,0.7303,0.1674,0.0287,0.0419,0.0085,0.02
AZ6,13, R,1,0.7532,0.152,0.0238,0.0351,0.0157,0.0176
AZ7,14, D,0,0.2097,0.6435,0.0864,0.0231,0.0196,0.0147
AZ8,15, R,1,0.7171,0.1848,0.0381,0.0311,0.007,0.0192
AZ9,16, D,0,0.5911,0.269,0.0484,0.0406,0.0248,0.0216
AR1,17, R,1,0.77,0.0279,0.1807,0.005,0.0039,0.0119
AR2,18, R,1,0.7034,0.0481,0.213,0.0139,0.0043,0.0158
AR3,19, R,1,0.7812,0.1274,0.0257,0.0238,0.0132,0.0212
AR4,20, R,1,0.7269,0.0519,0.1938,0.0062,0.0064,0.0139
CA1,21, R,1,0.7908,0.1199,0.0129,0.0234,0.0188,0.0308
CA2,22, D,0,0.728,0.1664,0.0158,0.0337,0.021,0.0304
CA3,23, D,0,0.5086,0.2778,0.0588,0.0991,0.0087,0.04
CA4,24, R,1,0.7821,0.1236,0.0118,0.0396,0.0105,0.0288
CA5,25, D,0,0.5275,0.2569,0.0643,0.1052,0.0063,0.033
CA6,26, D,0,0.3887,0.2695,0.1257,0.1496,0.006,0.0458
CA7,27, D,0,0.5716,0.1612,0.0734,0.1363,0.0051,0.0431
CA8,28, R,1,0.5019,0.3534,0.075,0.0283,0.0098,0.0264
CA9,29, D,0,0.3689,0.3716,0.0825,0.1327,0.0046,0.0335
CA10,30, R,1,0.4638,0.4008,0.0325,0.0602,0.0053,0.0295
CA11,31, D,0,0.4862,0.2556,0.0887,0.1241,0.0025,0.0355
CA12,32, D,0,0.4399,0.1468,0.0587,0.3123,0.0023,0.0328
CA13,33, D,0,0.3421,0.2084,0.1916,0.2066,0.0029,0.0403
CA14,34, D,0,0.3694,0.2427,0.0323,0.3033,0.0016,0.0333
CA15,35, D,0,0.3747,0.234,0.0651,0.2698,0.0027,0.0406
CA16,36, D,0,0.251,0.5801,0.058,0.0847,0.006,0.0166
CA17,37, D,0,0.2681,0.1746,0.0236,0.492,0.0019,0.0329
CA18,38, D,0,0.5793,0.171,0.0188,0.1872,0.002,0.0357
CA19,39, D,0,0.2697,0.4145,0.0283,0.2549,0.0027,0.0244
CA20,40, D,0,0.392,0.5065,0.0198,0.05,0.0035,0.0232
CA21,41, R,1,0.1932,0.7096,0.0444,0.0332,0.0053,0.0112
CA22,42, R,1,0.4238,0.4475,0.028,0.0717,0.0058,0.0201
CA23,43, R,1,0.5058,0.3553,0.0588,0.0433,0.009,0.0242
CA24,44, D,0,0.5712,0.341,0.0177,0.0397,0.0046,0.022
CA25,45, R,1,0.4583,0.3532,0.0801,0.0752,0.003,0.0263
CA26,46, D,0,0.4612,0.4323,0.0164,0.0624,0.0029,0.0214
CA27,47, D,0,0.2922,0.2688,0.0445,0.3689,0.0015,0.0214
CA28,48, D,0,0.5528,0.257,0.0232,0.1343,0.0015,0.0279
CA29,49, D,0,0.1842,0.687,0.0364,0.0741,0.0019,0.0127
CA30,50, D,0,0.5336,0.2701,0.042,0.1184,0.0017,0.0302
CA31,51, R,1,0.2966,0.4944,0.1095,0.069,0.0031,0.0223
CA32,52, D,0,0.1811,0.6262,0.0255,0.1499,0.002,0.0126
CA33,53, D,0,0.6851,0.1121,0.0275,0.1334,0.0016,0.0359
CA34,54, D,0,0.0924,0.6543,0.044,0.1938,0.0019,0.0106
CA35,55, D,0,0.1592,0.6944,0.0666,0.0604,0.0024,0.0129
CA36,56, D,0,0.4436,0.4664,0.036,0.0283,0.0072,0.0158
CA37,57, D,0,0.2428,0.3858,0.2456,0.0917,0.0017,0.026
CA38,58, D,0,0.1892,0.6122,0.0361,0.1419,0.0024,0.0139
CA39,59, R,1,0.3414,0.326,0.0228,0.2832,0.0018,0.0213
CA40,60, D,0,0.0536,0.8649,0.0507,0.0218,0.0014,0.0048
CA41,61, D,0,0.2608,0.559,0.095,0.0551,0.0035,0.021
CA42,62, R,1,0.4663,0.3619,0.0509,0.0848,0.004,0.0274
CA43,63, D,0,0.1508,0.46,0.2358,0.121,0.0019,0.0216
CA44,64, D,0,0.0717,0.6841,0.1676,0.053,0.0018,0.0113
CA45,65, R,1,0.555,0.184,0.0144,0.2068,0.0017,0.034
CA46,66, D,0,0.1843,0.6656,0.0173,0.1137,0.002,0.0119
CA47,67, D,0,0.3406,0.3413,0.0726,0.2073,0.0028,0.0266
CA48,68, R,1,0.5856,0.199,0.0094,0.1719,0.0021,0.0273
CA49,69, R,1,0.6153,0.2578,0.0231,0.0639,0.0035,0.0293
CA50,70, R,1,0.5864,0.2994,0.0233,0.0486,0.0097,0.0282
CA51,71, D,0,0.1439,0.6845,0.0684,0.0771,0.0046,0.0161
CA52,72, D,0,0.6205,0.1286,0.0291,0.1763,0.0028,0.0369
CA53,73, D,0,0.4307,0.3176,0.0779,0.1262,0.0034,0.0364
CO1,74, D,0,0.5673,0.2883,0.0836,0.0318,0.0057,0.0205
CO2,75, D,0,0.8436,0.0983,0.0073,0.028,0.0037,0.0172
CO3,76, R,1,0.72,0.2386,0.0068,0.0065,0.0129,0.0133
CO4,77, R,1,0.7385,0.2113,0.0123,0.0165,0.005,0.0146
CO5,78, R,1,0.7373,0.1431,0.0529,0.0237,0.0066,0.032
CO6,79, R,1,0.6323,0.1972,0.0865,0.0505,0.0039,0.0263
CO7,80, D,0,0.6615,0.269,0.0135,0.0316,0.0057,0.0165
CT1,81, D,0,0.6518,0.1464,0.1369,0.044,0.0015,0.0165
CT2,82, D,0,0.8417,0.0676,0.0362,0.0288,0.0041,0.0196
CT3,83, D,0,0.6879,0.1269,0.1255,0.0382,0.0016,0.017
CT4,84, D,0,0.6485,0.1737,0.1115,0.0461,0.001,0.0141
CT5,85, D,0,0.7322,0.1556,0.0587,0.0305,0.0014,0.0161
DE1,86, D,0,0.6534,0.0815,0.208,0.0315,0.0031,0.0204
FL1,87, R,1,0.7508,0.0517,0.1364,0.0236,0.0072,0.0273
FL2,88, R,1,0.6645,0.0516,0.2409,0.0178,0.0046,0.0188
FL3,89, R,1,0.7389,0.077,0.1327,0.0281,0.0033,0.0177
FL4,90, R,1,0.722,0.0748,0.1314,0.0434,0.0032,0.022
FL5,91, D,0,0.3207,0.1184,0.5118,0.0221,0.0031,0.0193
FL6,92, R,1,0.803,0.0683,0.0925,0.0171,0.0026,0.0144
FL7,93, R,1,0.6759,0.1864,0.0809,0.0338,0.0023,0.0177
FL8,94, R,1,0.7737,0.0894,0.0941,0.0189,0.0029,0.0185
FL9,95, D,0,0.3947,0.4413,0.0986,0.0404,0.002,0.0173
